Customer Name,Periode,Sales Doc,Sales Item,Material No,Material Desc, Sales Qty , Total Amount 
PT. HJT,January 2022,2100000517,60,CPLF,Finished Coil Plate, 130 ," 284,715 "
PT. HJT,January 2022,2100000454,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 12 ," 178,282 "
TCP,January 2022,2900000102,10,PLTF,Finished Baby Plate, 23 , 39 
OSP,January 2022,2900000106,540,WBMF,Finished Welded Beam, 2 , 5 
PT. WSJ,January 2022,2100000636,50,CPLF-0000000011,CPLF-ASTM A 36 4.8x1200x2400, 180 ," 295,398 "
PT. HJT,January 2022,2100001354,10,CRCF,Finished Cold Rolled Coil," 48,505 "," 749,014 "
PT. HJT,January 2022,2100000678,30,CRCF,Finished Cold Rolled Coil," 34,320 "," 588,645 "
O&C,January 2022,2900000065,20,WBMF,Finished Welded Beam, 32 , 134 
PT. JGA,January 2022,2100000566,30,CPLF-0000000019,CPLF-ASTM A 36 11.7x1200x2400, 90 ," 368,292 "
FSC,January 2022,1200000004,800,PLTF,Finished Baby Plate, 118 , - 
PT. HJT,January 2022,2100000749,30,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 22 ," 369,581 "
FSC,January 2022,1200000015,1100,PLTF,Finished Baby Plate," 18,645 ", - 
O&C,January 2022,2900000100,50,CTSF,Finished Plate Cut to Shape, 5 , 2 
FSC,January 2022,1200000004,1060,PLTF,Finished Baby Plate, 4 , - 
O&C,January 2022,2900000090,690,WBMF,Finished Welded Beam, 3 , 11 
PT. IB,January 2022,2100000875,170,CPLF-0000000013,CPLF-ASTM A 36 5.8x1200x2400, 350 ," 684,247 "
PT. HJT,January 2022,2100000551,30,CPLF,Finished Coil Plate, 431 ," 1,900,521 "
FSC,January 2022,1200000027,90,SWPF,Finished Spiral Welded Pipe," 81,906 ", - 
O&C,January 2022,2900000090,150,WBMF,Finished Welded Beam, 1 , 4 
FSC,January 2022,1200000002,140,CPLF,Finished Coil Plate, 3 , - 
PT. HJT,January 2022,2100001362,10,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 5 ," 31,192 "
PT. HJT,January 2022,2100001253,90,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 4 ," 55,594 "
PT. HJT,January 2022,2100000785,30,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 10 ," 206,161 "
SPM,January 2022,1200000005,70,SWPF,Finished Spiral Welded Pipe, 30 , - 
PT. IB,January 2022,2100000871,30,CPLF,Finished Coil Plate, 264 ," 283,039 "
OSP,January 2022,2900000042,220,PLTF,Finished Baby Plate, 3 , 12 
CV. TSK,January 2022,2100000746,30,PLTF,Finished Baby Plate, 42 ," 346,389 "
O&C,January 2022,2900000066,30,PLTF,Finished Baby Plate, 12 , 30 
PT. HJT,January 2022,2100000374,40,EPBF,Finished ERW Pipe," 1,000 "," 141,407 "
PT. JKA,January 2022,2100000571,10,CNPF-0000000003,CNP-JIS G 3131 SPHC 100x50x20x2.3x6000, 19 ," 8,015 "
FS,January 2022,1000000046,80,RBFF,Finished Rolled Beam Fabricated, 1 ," 7,066 "
FSC,January 2022,1200000006,820,PLTF,Finished Baby Plate," 4,618 ", - 
PSC,January 2022,1000000065,120,PLTF,Finished Baby Plate, 1 ," 75,569 "
PT. HJT,January 2022,2100000859,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 25 ," 105,429 "
FSC,January 2022,1200000000,100,RBFF,Finished Rolled Beam Fabricated, 10 , - 
SPM,January 2022,1200000016,20,SWPF,Finished Spiral Welded Pipe," 29,880 ", - 
FSC,January 2022,1200000006,480,PLTF,Finished Baby Plate," 5,253 ", - 
FSC,January 2022,1200000004,10,HRCF,Finished Hot Rolled Coil, 1 , - 
OSP,January 2022,2900000076,40,PLTF,Finished Baby Plate, 8 , 24 
PT. HJT,January 2022,2100001310,10,RTBF,Finished Rolled T-Beam, 50 ," 100,101 "
FSC,January 2022,1200000019,2170,PLTF,Finished Baby Plate," 3,786 ", - 
O&C,January 2022,2900000037,550,WBMF,Finished Welded Beam, 2 , 2 
FSC,January 2022,1200000028,1740,BSBS,SFG - Baby Slab," 7,473 ", - 
PT. HJT,January 2022,2100001101,50,RBFF,Finished Rolled Beam Fabricated, 8 ," 16,716 "
FSC,January 2022,1200000026,1100,PLTF,Finished Baby Plate," 5,420 ", - 
PT. HJT,January 2022,2100001147,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 16 ," 218,540 "
SPM,January 2022,1200000016,100,SWPF,Finished Spiral Welded Pipe," 9,755 ", - 
PT. HJT,January 2022,2100000542,10,CPLF-0000000006,CPLF-ASTM A 36 3x1200x2400, 20 ," 22,051 "
ATP,January 2022,2900000051,30,CRCF,Finished Cold Rolled Coil," 50,000 ", 51 
OSP,January 2022,2900000106,160,WBMF,Finished Welded Beam, 4 , 6 
PT. HJT,January 2022,2100000406,70,EPBF-0000000078,"JIS G 3445 STKM 11A 4""(114.3)x3.4x6000", 500 ," 444,730 "
OSP,January 2022,2900000042,180,PLTF,Finished Baby Plate, 6 , 30 
FSC,January 2022,1200000026,1210,PLTF,Finished Baby Plate," 5,769 ", - 
PT. HJT,January 2022,2100001172,140,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 10 ," 157,932 "
FS,January 2022,1000000059,80,CTSF,Finished Plate Cut to Shape, 2 , 558 
PT. HJT,January 2022,2100000843,10,UL-RBMF-0000004,HB-JIS G 3101 SS 400 125x125x12000-UL, 8 ," 38,759 "
PT. HJT,January 2022,2100001262,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 10 ," 154,655 "
PT. HJT,January 2022,2100000975,10,RBFF,Finished Rolled Beam Fabricated, 10 ," 77,639 "
ATP,January 2022,2900000070,40,CRCF,Finished Cold Rolled Coil," 45,585 ", 42 
CRM,January 2022,1200000029,280,HRCF,Finished Hot Rolled Coil," 14,619 ", - 
PT. HJT,January 2022,2100000653,80,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 50 ," 212,270 "
FSC,January 2022,1200000015,1480,PLTF,Finished Baby Plate," 3,500 ", - 
PT. HJT,January 2022,2100000460,10,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 85 ," 486,092 "
PT. SJA,January 2022,2100000666,10,EPBF,Finished ERW Pipe," 5,000 "," 4,261,165 "
FSC,January 2022,1200000022,3000,PLTF,Finished Baby Plate," 19,980 ", - 
PT. HJT,January 2022,2100001246,10,RBFF,Finished Rolled Beam Fabricated, 4 ," 13,406 "
PT. HJT,January 2022,2100000776,10,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 3 ," 19,030 "
FSC,January 2022,1200000015,510,PLTF,Finished Baby Plate," 24,036 ", - 
PT. HJT,January 2022,2100000458,20,SWPF,Finished Spiral Welded Pipe, 4 ," 178,581 "
PT. HJT,January 2022,2100000467,80,CPLF-0000000008,CPLF-ASTM A 36 3.7x1200x2400, 8 ," 11,130 "
O&C,January 2022,2900000037,190,WBMF,Finished Welded Beam, 1 , 1 
FSC,January 2022,1200000006,2100,PLTF,Finished Baby Plate," 11,076 ", - 
FSC,January 2022,1200000004,100,HRCF,Finished Hot Rolled Coil, 1 , - 
PT. SRM,January 2022,2100001293,10,CPLF,Finished Coil Plate, 168 ," 275,352 "
PT. HJT,January 2022,2100001334,20,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 9 ," 146,077 "
OSP,January 2022,2900000106,1120,WBMF,Finished Welded Beam, 1 , 4 
PT. HJT,January 2022,2100001262,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 30 ," 122,279 "
PT. IB,January 2022,2100000927,170,CPLF-0000000024,CPLF-ASTM A 36 5.8x1500x6000, 505 ," 3,089,929 "
PT. HJT,January 2022,2100000437,110,CPLF,Finished Coil Plate, 65 ," 103,975 "
FSC,January 2022,1200000026,570,PLTF,Finished Baby Plate," 13,716 ", - 
PSC,January 2022,1000000037,20,PLTF,Finished Baby Plate, 3 , - 
PT. HJT,January 2022,2100000710,40,RBFF,Finished Rolled Beam Fabricated, 3 ," 4,694 "
FS,January 2022,1000000046,40,RBFF,Finished Rolled Beam Fabricated, 1 ," 6,917 "
FS,January 2022,1000000059,190,CTSF,Finished Plate Cut to Shape, 11 , 335 
CV. MM,January 2022,2100000645,160,CPLF-0000000023,CPLF-ASTM A 36 5.7x1500x6000, 115 ," 687,544 "
PT. HJT,January 2022,2100000393,20,RBFF,Finished Rolled Beam Fabricated, 86 ," 40,859 "
PT. SRM,January 2022,2100001301,30,PLTF,Finished Baby Plate, 100 ," 749,505 "
PT. HJT,January 2022,2100001195,70,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 2 ," 39,153 "
PT. HJT,January 2022,2100000517,40,CPLF-0000000023,CPLF-ASTM A 36 5.7x1500x6000, 43 ," 279,063 "
FS,January 2022,1000000046,150,RBFF,Finished Rolled Beam Fabricated, 2 ," 6,185 "
LSM,January 2022,1000000025,10,FABF,Finished Fabrication," 64,000 "," 133,686 "
PT. HJT,January 2022,2100001408,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 10 ," 98,510 "
PT. IPM,January 2022,2100000641,120,PLTF,Finished Baby Plate, 76 ," 766,356 "
FSC,January 2022,1200000015,640,PLTF,Finished Baby Plate," 26,250 ", - 
FSC,January 2022,1200000006,640,PLTF,Finished Baby Plate," 1,056 ", - 
PT. HJT,January 2022,2100000656,10,RBFF,Finished Rolled Beam Fabricated, 18 ," 188,168 "
PT. HJT,January 2022,2100001024,50,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 1 ," 16,608 "
PT. HJT,January 2022,2100000731,10,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 26 ," 538,607 "
OAP,January 2022,2900000039,20,PLTF,Finished Baby Plate, 15 , 15 
O&C,January 2022,2900000090,30,WBMF,Finished Welded Beam, 2 , 4 
PT. HJT,January 2022,2100000372,170,EPBF-0000000030,"JIS G 3445 STKM 11A 11/2""(48.3)x2.8x6000", 500 ," 124,749 "
PT. HJT,January 2022,2100000542,20,CPLF-0000000009,CPLF-ASTM A 36 3.8x1200x2400, 12 ," 16,733 "
SPM,January 2022,1200000016,70,SWPF,Finished Spiral Welded Pipe," 13,200 ", - 
FSC,January 2022,1200000003,200,EPBF,Finished ERW Pipe, 44 , - 
O&C,January 2022,2900000090,1020,WBMF,Finished Welded Beam, 5 , 16 
PT. ADP,January 2022,2100000395,10,HRCF,Finished Hot Rolled Coil," 36,440 "," 561,176 "
PT. HJT,January 2022,2100000964,30,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 21 ," 88,472 "
PT. ADP,January 2022,2100000563,10,PLTF,Finished Baby Plate, 10 ," 623,825 "
O&C,January 2022,2900000105,590,WBMF,Finished Welded Beam, 1 , 2 
FSC,January 2022,1200000026,390,HRCF,Finished Hot Rolled Coil," 164,890 ", - 
PT. ADP,January 2022,2100000461,30,HRCF,Finished Hot Rolled Coil," 27,720 "," 431,279 "
FSC,January 2022,1200000014,570,CPLF,Finished Coil Plate, 567 , - 
PT. TJ,January 2022,2100001022,70,PLTF,Finished Baby Plate, 30 ," 1,006,373 "
PT. TJ,January 2022,2100000692,60,PLTF,Finished Baby Plate, 80 ," 1,815,264 "
PT. HJT,January 2022,2100001190,20,CRCF,Finished Cold Rolled Coil," 48,570 "," 760,732 "
CRM,January 2022,1000000011,20,CPLF,Finished Coil Plate, 300 ," 301,293 "
PT. B,January 2022,2100001282,70,PLTF,Finished Baby Plate, 2 ," 299,645 "
PT. PNS,January 2022,2100000603,70,CPLF-0000000019,CPLF-ASTM A 36 11.7x1200x2400, 216 ," 864,959 "
PT. HJT,January 2022,2100000437,60,CPLF-0000000024,CPLF-ASTM A 36 5.8x1500x6000, 9 ," 57,868 "
PT. TJ,January 2022,2100000658,10,CPLF,Finished Coil Plate, 800 ," 4,782,917 "
PT. HJT,January 2022,2100001374,30,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 14 ," 268,922 "
FSC,January 2022,1200000006,2080,PLTF,Finished Baby Plate," 13,209 ", - 
PT. HJT,January 2022,2100000710,20,RBFF,Finished Rolled Beam Fabricated, 5 ," 14,882 "
PT. HJT,January 2022,2100000742,90,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 4 ," 57,691 "
PT. SSJ,January 2022,2100000577,10,WBMF,Finished Welded Beam, 28 ," 2,075,460 "
TCP,January 2022,2900000075,10,WBMF,Finished Welded Beam, 1 , 0 
FSC,January 2022,1200000000,270,RBFF,Finished Rolled Beam Fabricated, 11 , - 
PT. HJT,January 2022,2100000502,40,PLTF,Finished Baby Plate, 12 ," 927,710 "
CV. MM,January 2022,2100000934,70,CPLF,Finished Coil Plate, 143 ," 271,665 "
PT. ADP,January 2022,2100000402,10,HRCF,Finished Hot Rolled Coil," 7,250 "," 110,853 "
ATP,January 2022,2900000012,140,PLTF,Finished Baby Plate, 84 , 614 
PT. BBM,January 2022,2100000600,60,CPLF,Finished Coil Plate, 72 ," 344,721 "
PT. HJT,January 2022,2100000939,180,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 99 ," 1,613,320 "
PT. HJT,January 2022,2100000723,40,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 10 ," 103,300 "
PT. HJT,January 2022,2100000339,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 2 ," 31,842 "
PT. HJT,January 2022,2100000267,10,UL-RBMF-0000004,HB-JIS G 3101 SS 400 125x125x12000-UL, 119 ," 516,691 "
FSC,January 2022,1200000026,720,PLTF,Finished Baby Plate," 6,358 ", - 
CV. MM,January 2022,2100000645,70,CPLF,Finished Coil Plate, 216 ," 281,990 "
PT. HJT,January 2022,2100000712,10,PLTF,Finished Baby Plate, 10 ," 93,643 "
PT. HJT,January 2022,2100000438,80,CPLF-0000000005,CPLF-ASTM A 36 2.8x1200x2400, 22 ," 21,736 "
FSC,January 2022,1200000015,1410,PLTF,Finished Baby Plate," 1,458 ", - 
PT. HJT,January 2022,2100001342,40,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 34 ," 359,419 "
FSC,January 2022,1200000004,940,PLTF,Finished Baby Plate, 20 , - 
PT. HJT,January 2022,2100001130,20,RBFF,Finished Rolled Beam Fabricated, 1 ," 2,329 "
CRM,January 2022,1200000029,490,HRPS,SFG - HRC (Purchased)," 27,940 ", - 
PT. ADP,January 2022,2100000402,20,HRCF,Finished Hot Rolled Coil," 40,100 "," 613,129 "
PT. PNS,January 2022,2100001313,40,PLTF,Finished Baby Plate, 15 ," 607,056 "
O&C,January 2022,2900000090,760,WBMF,Finished Welded Beam, 9 , 23 
PT. HJT,January 2022,2100000888,30,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 5 ," 20,472 "
FSC,January 2022,1200000022,2680,PLTF,Finished Baby Plate," 3,186 ", - 
PT. HJT,January 2022,2100001404,10,UL-RBMF-0000005,HB-JIS G 3101 SS 400 100x100x12000-UL, 6 ," 14,965 "
PT. HJT,January 2022,2100001306,70,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 3 ," 48,315 "
PT. PAS,January 2022,2100001204,20,CNPF,Finished Lipped Channel, 8 ," 4,291 "
PSC,January 2022,1000000041,20,PLTF,Finished Baby Plate, 9 ," 126,590 "
FSC,January 2022,1200000028,1490,BSBS,SFG - Baby Slab," 2,965 ", - 
PT. HJT,January 2022,2100001409,80,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 50 ," 364,839 "
PT. HJT,January 2022,2100001342,130,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 115 ," 693,462 "
PT. HJT,January 2022,2100000717,20,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 12 ," 71,421 "
PT. HJT,January 2022,2100001397,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 5 ," 68,294 "
FSC,January 2022,1200000022,2490,PLTF,Finished Baby Plate," 44,319 ", - 
PT. SS,January 2022,2100000554,40,CPLF-0000000020,CPLF-ASTM A 36 11.8x1200x2400, 25 ," 104,180 "
PT. HJT,January 2022,2100001360,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 13 ," 201,862 "
PT. HJT,January 2022,2100000795,100,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 26 ," 375,332 "
PT. HJT,January 2022,2100001028,50,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 15 ," 301,124 "
PSC,January 2022,1000000038,30,PLTF,Finished Baby Plate, 9 ," 111,008 "
PSC,January 2022,1000000063,40,CTSF,Finished Plate Cut to Shape, 105 ," 2,061 "
FSC,January 2022,1200000027,70,SWPF,Finished Spiral Welded Pipe," 28,200 ", - 
PT. HJT,January 2022,2100001109,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 10 ," 149,048 "
FSC,January 2022,1200000028,1620,BSBS,SFG - Baby Slab," 2,965 ", - 
FSC,January 2022,1200000006,360,HRCF,Finished Hot Rolled Coil," 18,390 ", - 
FS,January 2022,1000000059,260,CTSF,Finished Plate Cut to Shape, 2 ," 1,050 "
PT. HJT,January 2022,2100000948,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 60 ," 254,724 "
PT. HJT,January 2022,2100000533,40,PLTF,Finished Baby Plate, 29 ," 291,779 "
TCP,January 2022,2900000049,70,WBMF,Finished Welded Beam, 5 , 17 
PT. HJT,January 2022,2100000465,60,CPLF,Finished Coil Plate, 25 ," 37,266 "
PT. TJ,January 2022,2100000690,70,PLTF,Finished Baby Plate, 60 ," 1,146,985 "
PT. HJT,January 2022,2100001361,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 4 ," 82,166 "
O&C,January 2022,2900000090,350,WBMF,Finished Welded Beam, 4 , 12 
PT. HJT,January 2022,2100000489,10,CPLF-0000000002,CPLF-ASTM A 36 2.3x1200x2400, 500 ," 420,133 "
PT. SAS,January 2022,2100001283,130,PLTF,Finished Baby Plate, 2 ," 138,607 "
PT. BBM,January 2022,2100000932,10,PLTF,Finished Baby Plate, 76 ," 559,715 "
FSC,January 2022,1200000004,330,HRCF,Finished Hot Rolled Coil, 3 , - 
PT. BBM,January 2022,2100000582,50,PLTF,Finished Baby Plate, 6 ," 30,760 "
FSC,January 2022,1200000004,750,PLTF,Finished Baby Plate, 9 , - 
O&C,January 2022,2900000037,200,WBMF,Finished Welded Beam, 1 , 1 
OSP,January 2022,2900000101,20,WBMF,Finished Welded Beam, 3 , 9 
ATP,January 2022,2900000051,20,CRCF,Finished Cold Rolled Coil," 50,000 ", 51 
OAP,January 2022,2900000061,10,PLTF,Finished Baby Plate, 20 , 24 
PT. HJT,January 2022,2100000339,80,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 10 ," 144,227 "
FSC,January 2022,1200000015,1450,PLTF,Finished Baby Plate, 933 , - 
PT. HJT,January 2022,2100000972,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 15 ," 237,374 "
PT. HJT,January 2022,2100000738,140,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 1 ," 10,181 "
PT. HJT,January 2022,2100001144,40,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 40 ," 632,998 "
PT. HJT,January 2022,2100000715,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 16 ," 67,362 "
PT. HJT,January 2022,2100000471,10,CNPF-0000000003,CNP-JIS G 3131 SPHC 100x50x20x2.3x6000, 142 ," 56,761 "
PT. HJT,January 2022,2100000708,10,RBMF-0000000014,IWF-JIS G 3101 SS 400 198x99x12000, 19 ," 71,271 "
PT. HJT,January 2022,2100001298,20,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 5 ," 37,127 "
PT. HJT,January 2022,2100000521,90,CPLF,Finished Coil Plate, 4 ," 35,711 "
FSC,January 2022,1200000026,1050,PLTF,Finished Baby Plate," 3,148 ", - 
PT. HJT,January 2022,2100000937,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 2 ," 8,364 "
TCP,January 2022,2900000063,30,PLTF,Finished Baby Plate, 28 , 25 
TCP,January 2022,2900000049,90,WBMF,Finished Welded Beam, 1 , 1 
PT. HJT,January 2022,2100001058,60,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 1 ," 16,497 "
CV. MM,January 2022,2100000934,80,PLTF,Finished Baby Plate, 73 ," 372,344 "
PT. SS,January 2022,2100001170,70,CNPF-0000000014,CNP-JIS G 3131 SPHC 125x50x20x3x6000, 708 ," 414,632 "
PT. HJT,January 2022,2100001151,10,RBMF-0000000006,IWF-JIS G 3101 SS 400 396x199x12000, 6 ," 72,347 "
PT. PNS,January 2022,2100000904,110,PLTF,Finished Baby Plate, 10 ," 350,644 "
O&C,January 2022,2900000038,50,WBMF,Finished Welded Beam, 1 , 1 
FSC,January 2022,1200000026,530,PLTF,Finished Baby Plate," 2,504 ", - 
PT. ADP,January 2022,2100000558,10,PLTF,Finished Baby Plate, 28 ," 634,296 "
O&C,January 2022,2900000043,20,WBMF,Finished Welded Beam, 8 , 6 
FSC,January 2022,1200000000,800,RBMF,Finished Rolled Beam, 3 , - 
PT. HJT,January 2022,2100001424,20,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 25 ," 68,609 "
PT. HJT,January 2022,2100000521,20,CPLF-0000000011,CPLF-ASTM A 36 4.8x1200x2400, 25 ," 43,282 "
PT. HJT,January 2022,2100001131,120,RBFF,Finished Rolled Beam Fabricated, 2 ," 4,179 "
OSP,January 2022,2900000106,230,WBMF,Finished Welded Beam, 16 , 17 
FSC,January 2022,1200000022,2430,PLTF,Finished Baby Plate," 62,196 ", - 
PT. HJT,January 2022,2100001117,190,RBMF-0000000002,IWF-JIS G 3101 SS 400 588x300x12000, 14 ," 461,965 "
FSC,January 2022,1200000004,770,PLTF,Finished Baby Plate, 6 , - 
PT. HJT,January 2022,2100001024,10,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 1 ," 29,938 "
PT. HJT,January 2022,2100001316,10,RBFF,Finished Rolled Beam Fabricated, 12 ," 148,104 "
PT. HJT,January 2022,2100000548,150,CPLF,Finished Coil Plate, 145 ," 1,995,369 "
PT. HJT,January 2022,2100000937,50,UL-RBMF-0000004,HB-JIS G 3101 SS 400 125x125x12000-UL, 8 ," 38,509 "
PT. HJT,January 2022,2100001249,60,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 40 ," 783,053 "
FSC,January 2022,1200000022,2540,PLTF,Finished Baby Plate," 57,395 ", - 
PT. TJ,January 2022,2100000689,50,CPLF,Finished Coil Plate, 197 ," 2,280,686 "
PSC,January 2022,1000000061,10,PLTF,Finished Baby Plate, 5 ," 57,964 "
PT. HJT,January 2022,2100000879,40,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 10 ," 205,415 "
O&C,January 2022,2900000090,710,WBMF,Finished Welded Beam, 6 , 15 
FSC,January 2022,1200000015,500,PLTF,Finished Baby Plate," 24,030 ", - 
PT. HJT,January 2022,2100001117,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 4 ," 63,300 "
PSC,January 2022,1000000034,210,PLTF,Finished Baby Plate, 18 ," 230,599 "
PT. BBM,January 2022,2100000932,40,PLTF,Finished Baby Plate, 52 ," 776,159 "
PT. HJT,January 2022,2100001181,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 9 ," 180,562 "
PT. HJT,January 2022,2100001152,40,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 80 ," 614,415 "
PT. ADP,January 2022,2100000532,40,CPLF,Finished Coil Plate, 263 ," 1,712,912 "
PT. HJT,January 2022,2100000858,20,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 30 ," 170,331 "
FSC,January 2022,1200000019,1970,PLTF,Finished Baby Plate," 2,188 ", - 
PT. ADP,January 2022,2100001266,40,PLTF,Finished Baby Plate, 6 ," 47,722 "
PT. HJT,January 2022,2100001362,30,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 16 ," 323,587 "
PT. IPM,January 2022,2100000334,20,SWPF,Finished Spiral Welded Pipe, 64 ," 1,688,092 "
PT. PAS,January 2022,2100000687,10,CNPF,Finished Lipped Channel, 10 ," 168,208 "
PT. HJT,January 2022,2100001117,210,RBMF-0000000001,IWF-JIS G 3101 SS 400 600x200x12000, 9 ," 221,101 "
PT. HJT,January 2022,2100000912,40,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 7 ," 100,348 "
ATP,January 2022,2900000098,20,CRCF,Finished Cold Rolled Coil," 17,355 ", 16 
PT. IB,January 2022,2100001428,80,EPBF-0000000027,"JIS G 3445 STKM 11A 11/2""(48.3)x2x6000", 546 ," 117,572 "
O&C,January 2022,2900000090,970,WBMF,Finished Welded Beam, 5 , 4 
PT. HJT,January 2022,2100000859,30,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 50 ," 292,401 "
FSC,January 2022,1200000019,2010,PLTF,Finished Baby Plate," 1,341 ", - 
CRM,January 2022,1200000029,440,HRPS,SFG - HRC (Purchased)," 172,259 ", - 
PT. HJT,January 2022,2100000944,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 43 ," 181,217 "
PT. SNI,January 2022,2300000012,10,WOTN37000000000009,DEBU EAF SMS1," 5,500 ", - 
O&C,January 2022,2900000100,140,CTSF,Finished Plate Cut to Shape, 1 , 1 
O&C,January 2022,2900000100,80,CTSF,Finished Plate Cut to Shape, 1 , 1 
PT. HJT,January 2022,2100000801,80,RBMF-0000000002,IWF-JIS G 3101 SS 400 588x300x12000, 2 ," 65,995 "
O&C,January 2022,2900000100,300,CTSF,Finished Plate Cut to Shape, 1 , 1 
FSC,January 2022,1200000025,150,CPLF,Finished Coil Plate, 442 , - 
FSC,January 2022,1200000028,1650,BSBS,SFG - Baby Slab," 2,965 ", - 
PT. HJT,January 2022,2100000464,10,EPBF-0000000073,"JIS G 3445 STKM 11A 4""(114.3)x2.5x6000", 200 ," 142,000 "
PT. HJT,January 2022,2100000455,10,WBMF,Finished Welded Beam, 10 ," 221,700 "
PT. HJT,January 2022,2100001057,20,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 29 ," 220,051 "
PT. HJT,January 2022,2100001333,20,RBMF-0000000012,IWF-JIS G 3101 SS 400 248x124x12000, 10 ," 48,615 "
PT. HJT,January 2022,2100000403,40,CPLF,Finished Coil Plate, 3 ," 8,531 "
